,map_name,num_lm,accuracy
0,Charlotte #1,24,0.044715447154471545
1,Charlotte #2,15,0.06504065040650407
2,Chicago #1,22,0.0508130081300813
3,Chicago #2,26,0.052845528455284556
4,Columbus #1,10,0.07317073170731707
5,Columbus #2,26,0.04065040650406504
6,Denver #1,27,0.046747967479674794
7,Denver #2,21,0.046747967479674794
8,Houston,32,0.052845528455284556
9,Indianapolis,10,0.054878048780487805
10,Jacksonville #1,19,0.042682926829268296
11,Jacksonville #2,16,0.052845528455284556
12,Los Angeles #1,60,0.052845528455284556
13,Los Angeles #2,62,0.08130081300813008
14,New York #1,71,0.0508130081300813
15,New York #2,73,0.03861788617886179
16,Philadelphia #1,21,0.046747967479674794
17,Philadelphia #2,90,0.03861788617886179
18,San Diego #1,41,0.04878048780487805
19,San Diego #2,31,0.046747967479674794
20,Seattle,119,0.04878048780487805
