,map_name,num_lm,accuracy
0,Charlotte #1,24,0.04693877551020408
1,Charlotte #2,15,0.030612244897959183
2,Chicago #1,22,0.014285714285714285
3,Chicago #2,26,0.036734693877551024
4,Columbus #1,10,0.12040816326530612
5,Columbus #2,26,0.02857142857142857
6,Denver #1,27,0.05510204081632653
7,Denver #2,21,0.03877551020408163
8,Houston,32,0.03877551020408163
9,Indianapolis,10,0.006122448979591836
10,Jacksonville #1,19,0.018367346938775512
11,Jacksonville #2,16,0.044897959183673466
12,Los Angeles #1,60,0.022448979591836733
13,Los Angeles #2,62,0.05510204081632653
14,New York #1,71,0.04693877551020408
15,New York #2,73,0.02040816326530612
16,Philadelphia #1,21,0.02040816326530612
17,Philadelphia #2,90,0.018367346938775512
18,San Diego #1,41,0.02040816326530612
19,San Diego #2,31,0.022448979591836733
20,Seattle,119,0.04285714285714286
