LTL Type,Number of Propositions,Number of Utterances,Accuracy
visit,1,21,0.76
visit,2,22,0.96
visit,3,26,1.0
visit,4,19,0.95
visit,5,19,1.0
sequenced_visit,2,22,0.9
sequenced_visit,3,16,0.95
sequenced_visit,4,17,0.9333333333333333
sequenced_visit,5,14,0.7333333333333333
ordered_visit,2,21,0.85
ordered_visit,3,12,0.8666666666666667
ordered_visit,4,15,0.7333333333333333
ordered_visit,5,15,0.6
strictly_ordered_visit,2,20,0.8
strictly_ordered_visit,3,11,1.0
strictly_ordered_visit,4,16,1.0
strictly_ordered_visit,5,12,1.0
patrolling,1,25,0.95
patrolling,2,19,0.9
patrolling,3,14,1.0
patrolling,4,14,1.0
patrolling,5,9,0.8
fair_visit,2,19,0.0
fair_visit,3,12,0.0
fair_visit,5,12,0.0
fair_visit,4,17,0.0
