LTL Type,Number of Propositions,Number of Utterances,Accuracy
visit,1,21,1.0
visit,2,22,0.76
visit,3,26,0.6333333333333333
visit,4,19,0.4
visit,5,19,0.6
sequenced_visit,2,22,0.75
sequenced_visit,3,16,0.7
sequenced_visit,4,17,0.6
sequenced_visit,5,14,0.4666666666666667
ordered_visit,2,21,0.6
ordered_visit,3,12,0.19999999999999998
ordered_visit,4,15,0.13333333333333333
ordered_visit,5,15,0.13333333333333333
strictly_ordered_visit,2,20,0.4
strictly_ordered_visit,3,11,0.1
strictly_ordered_visit,4,16,0.1
strictly_ordered_visit,5,12,0.2
patrolling,1,25,1.0
patrolling,2,19,0.7
patrolling,3,14,1.0
patrolling,4,14,0.8
patrolling,5,9,1.0
fair_visit,2,19,0.0
fair_visit,3,12,0.0
fair_visit,5,12,0.0
fair_visit,4,17,0.0
