LTL Template Type,Number of Propositions,Number of Utterances,Accuracy
visit,1,21,1.0
visit,2,22,0.8
visit,3,26,1.0
visit,4,19,1.0
visit,5,14,0.6666666666666666
sequenced_visit,2,18,1.0
sequenced_visit,3,17,0.75
sequenced_visit,4,12,0.3333333333333333
sequenced_visit,5,11,0.3333333333333333
ordered_visit,2,17,1.0
ordered_visit,3,12,1.0
ordered_visit,4,11,0.0
ordered_visit,5,11,0.6666666666666666
strictly_ordered_visit,2,16,0.75
strictly_ordered_visit,3,7,0.5
strictly_ordered_visit,4,7,0.0
strictly_ordered_visit,5,8,0.5
patrolling,1,17,1.0
patrolling,2,10,1.0
patrolling,3,5,1.0
patrolling,4,5,1.0
patrolling,5,5,0.0
fair_visit,2,15,no valid data
fair_visit,3,8,no valid data
fair_visit,5,8,no valid data
fair_visit,4,8,no valid data
