LTL Template Type,Number of Propositions,Number of Utterances,Accuracy
visit,1,13,1.0
visit,2,14,1.0
visit,3,8,1.0
visit,4,3,0.0
visit,5,4,1.0
patrolling,1,17,1.0
patrolling,2,6,1.0
sequenced_visit,2,13,1.0
sequenced_visit,3,7,0.5
sequenced_visit,4,2,0.0
sequenced_visit,5,1,no valid data
ordered_visit,2,12,0.3333333333333333
ordered_visit,3,7,0.0
ordered_visit,4,1,no valid data
ordered_visit,5,1,no valid data
strictly_ordered_visit,2,11,1.0
strictly_ordered_visit,3,2,0.0
strictly_ordered_visit,4,2,0.0
strictly_ordered_visit,5,3,0.0
fair_visit,2,10,0.0
