LTL Type,Number of Propositions,Number of Utterances,Accuracy
bound_delay,2,480,0.0
delayed_reaction,2,480,no valid data
exact_restricted_avoidance,1,120,no valid data
exact_restricted_avoidance,2,120,0.325
exact_restricted_avoidance,3,120,no valid data
exact_restricted_avoidance,4,120,no valid data
exact_restricted_avoidance,5,120,no valid data
future_avoidance,2,480,no valid data
global_avoidance,1,120,no valid data
global_avoidance,2,480,no valid data
global_avoidance,3,1440,no valid data
global_avoidance,4,2880,no valid data
global_avoidance,5,2880,no valid data
lower_restricted_avoidance,1,120,0.6083333333333333
lower_restricted_avoidance,2,120,no valid data
lower_restricted_avoidance,3,135,no valid data
lower_restricted_avoidance,4,120,no valid data
lower_restricted_avoidance,5,120,no valid data
ordered_visit,2,520,no valid data
ordered_visit,3,1320,0.7174242424242424
ordered_visit,4,2400,no valid data
ordered_visit,5,2520,0.16507936507936508
past_avoidance,2,460,no valid data
patrolling,1,150,0.06666666666666667
patrolling,2,480,no valid data
patrolling,3,1380,no valid data
patrolling,4,2880,no valid data
patrolling,5,2880,no valid data
prompt_reaction,2,480,no valid data
sequenced_visit,2,540,no valid data
sequenced_visit,3,1560,0.9205128205128205
sequenced_visit,4,2640,no valid data
sequenced_visit,5,2880,0.675
strictly_ordered_visit,2,500,no valid data
strictly_ordered_visit,3,1260,no valid data
strictly_ordered_visit,4,2520,no valid data
strictly_ordered_visit,5,2760,0.09202898550724638
upper_restricted_avoidance,1,120,no valid data
upper_restricted_avoidance,2,120,no valid data
upper_restricted_avoidance,3,120,no valid data
upper_restricted_avoidance,4,120,no valid data
upper_restricted_avoidance,5,120,no valid data
visit,1,130,no valid data
visit,2,540,no valid data
visit,3,1560,no valid data
visit,4,2880,0.9940972222222222
visit,5,2880,no valid data
wait,2,480,no valid data
